nama,oneLoc,near,hari,jumlahHari
rifat,54,42,"[datetime.date(2020, 1, 14), datetime.date(2020, 11, 30), datetime.date(2020, 1, 17), datetime.date(2020, 1, 10), datetime.date(2020, 1, 8), datetime.date(2020, 1, 16), datetime.date(2020, 1, 12), datetime.date(2020, 1, 9), datetime.date(2020, 1, 13), datetime.date(2020, 1, 15), datetime.date(2020, 1, 4), datetime.date(2020, 1, 5)]",12
udin,32,42,"[datetime.date(2020, 1, 6), datetime.date(2020, 1, 10), datetime.date(2020, 1, 8), datetime.date(2020, 1, 3), datetime.date(2020, 1, 12), datetime.date(2020, 1, 15), datetime.date(2020, 1, 11)]",7
dono,37,51,"[datetime.date(2020, 1, 11), datetime.date(2020, 11, 30), datetime.date(2020, 1, 16), datetime.date(2020, 1, 3), datetime.date(2020, 1, 8), datetime.date(2020, 1, 18), datetime.date(2020, 1, 9), datetime.date(2020, 1, 2), datetime.date(2020, 1, 4)]",9
saipul,49,43,"[datetime.date(2020, 1, 15), datetime.date(2020, 1, 18), datetime.date(2020, 1, 5), datetime.date(2020, 1, 12), datetime.date(2020, 1, 9), datetime.date(2020, 1, 19), datetime.date(2020, 1, 14), datetime.date(2020, 1, 3), datetime.date(2020, 1, 10), datetime.date(2020, 1, 13)]",10
dany,29,40,"[datetime.date(2020, 1, 18), datetime.date(2020, 1, 6), datetime.date(2020, 1, 2), datetime.date(2020, 1, 14), datetime.date(2020, 1, 13), datetime.date(2020, 1, 12)]",6
haikal,35,35,"[datetime.date(2020, 1, 12), datetime.date(2020, 1, 8), datetime.date(2020, 1, 9), datetime.date(2020, 1, 16), datetime.date(2020, 1, 7), datetime.date(2020, 1, 14), datetime.date(2020, 1, 1), datetime.date(2020, 11, 29)]",8
cin,38,46,"[datetime.date(2020, 1, 5), datetime.date(2020, 1, 15), datetime.date(2020, 1, 7), datetime.date(2020, 1, 18), datetime.date(2020, 1, 9), datetime.date(2020, 1, 3), datetime.date(2020, 1, 12), datetime.date(2020, 1, 17)]",8
geri,63,53,"[datetime.date(2020, 1, 7), datetime.date(2020, 1, 2), datetime.date(2020, 1, 4), datetime.date(2020, 1, 10), datetime.date(2020, 11, 30), datetime.date(2020, 1, 6), datetime.date(2020, 1, 11), datetime.date(2020, 1, 17), datetime.date(2020, 1, 18), datetime.date(2020, 1, 14), datetime.date(2020, 1, 15), datetime.date(2020, 1, 19), datetime.date(2020, 1, 13), datetime.date(2020, 1, 1)]",14
maria,52,57,"[datetime.date(2020, 1, 9), datetime.date(2020, 1, 12), datetime.date(2020, 1, 13), datetime.date(2020, 1, 11), datetime.date(2020, 1, 17), datetime.date(2020, 11, 25), datetime.date(2020, 1, 8), datetime.date(2020, 1, 14), datetime.date(2020, 1, 4), datetime.date(2020, 1, 15), datetime.date(2020, 1, 2), datetime.date(2020, 1, 5)]",12
putri,37,44,"[datetime.date(2020, 1, 4), datetime.date(2020, 1, 8), datetime.date(2020, 1, 6), datetime.date(2020, 1, 11), datetime.date(2020, 1, 17), datetime.date(2020, 1, 15), datetime.date(2020, 1, 19), datetime.date(2020, 1, 14)]",8
rizki,19,58,"[datetime.date(2020, 1, 11), datetime.date(2020, 1, 4), datetime.date(2020, 1, 1), datetime.date(2020, 1, 18)]",4
astri,45,40,"[datetime.date(2020, 11, 29), datetime.date(2020, 11, 30), datetime.date(2020, 1, 1), datetime.date(2020, 1, 7), datetime.date(2020, 1, 2), datetime.date(2020, 1, 5), datetime.date(2020, 1, 13), datetime.date(2020, 1, 3), datetime.date(2020, 1, 9), datetime.date(2020, 1, 19), datetime.date(2020, 1, 14)]",11
zaky,51,38,"[datetime.date(2020, 1, 9), datetime.date(2020, 1, 19), datetime.date(2020, 1, 18), datetime.date(2020, 1, 2), datetime.date(2020, 1, 12), datetime.date(2020, 1, 3), datetime.date(2020, 1, 11), datetime.date(2020, 1, 17), datetime.date(2020, 1, 16), datetime.date(2020, 1, 15), datetime.date(2020, 1, 14)]",11
dwi,34,42,"[datetime.date(2020, 1, 16), datetime.date(2020, 1, 10), datetime.date(2020, 1, 7), datetime.date(2020, 1, 13), datetime.date(2020, 1, 4), datetime.date(2020, 1, 15), datetime.date(2020, 1, 17)]",7
fajar,38,34,"[datetime.date(2020, 1, 1), datetime.date(2020, 11, 25), datetime.date(2020, 1, 11), datetime.date(2020, 1, 19), datetime.date(2020, 1, 17), datetime.date(2020, 1, 8), datetime.date(2020, 1, 16), datetime.date(2020, 1, 18), datetime.date(2020, 1, 12)]",9
fikri,39,39,"[datetime.date(2020, 1, 3), datetime.date(2020, 11, 25), datetime.date(2020, 1, 18), datetime.date(2020, 1, 1), datetime.date(2020, 1, 8), datetime.date(2020, 1, 5), datetime.date(2020, 1, 7), datetime.date(2020, 1, 14), datetime.date(2020, 1, 10)]",9
amanda,52,46,"[datetime.date(2020, 1, 1), datetime.date(2020, 1, 11), datetime.date(2020, 1, 3), datetime.date(2020, 1, 13), datetime.date(2020, 1, 7), datetime.date(2020, 1, 14), datetime.date(2020, 1, 10), datetime.date(2020, 1, 9), datetime.date(2020, 1, 5), datetime.date(2020, 1, 12), datetime.date(2020, 1, 8)]",11
