nama,oneLoc,near,hari,jumlahHari
maria,32,40,"[datetime.date(2020, 1, 4), datetime.date(2020, 1, 3), datetime.date(2020, 1, 13), datetime.date(2020, 1, 18), datetime.date(2020, 11, 25), datetime.date(2020, 1, 16), datetime.date(2020, 1, 10), datetime.date(2020, 1, 11)]",8
saipul,58,41,"[datetime.date(2020, 1, 19), datetime.date(2020, 1, 4), datetime.date(2020, 1, 9), datetime.date(2020, 1, 8), datetime.date(2020, 1, 7), datetime.date(2020, 1, 16), datetime.date(2020, 1, 12), datetime.date(2020, 1, 6), datetime.date(2020, 1, 5), datetime.date(2020, 1, 1), datetime.date(2020, 1, 17), datetime.date(2020, 1, 15), datetime.date(2020, 1, 10)]",13
amanda,56,36,"[datetime.date(2020, 1, 2), datetime.date(2020, 1, 3), datetime.date(2020, 1, 16), datetime.date(2020, 1, 4), datetime.date(2020, 1, 9), datetime.date(2020, 1, 14), datetime.date(2020, 1, 7), datetime.date(2020, 1, 19), datetime.date(2020, 1, 12), datetime.date(2020, 1, 5), datetime.date(2020, 1, 17), datetime.date(2020, 1, 8)]",12
fajar,35,41,"[datetime.date(2020, 1, 4), datetime.date(2020, 11, 25), datetime.date(2020, 1, 13), datetime.date(2020, 1, 12), datetime.date(2020, 1, 15), datetime.date(2020, 1, 14), datetime.date(2020, 1, 5), datetime.date(2020, 1, 3)]",8
cin,36,53,"[datetime.date(2020, 1, 7), datetime.date(2020, 1, 5), datetime.date(2020, 1, 6), datetime.date(2020, 1, 1), datetime.date(2020, 1, 11), datetime.date(2020, 1, 18), datetime.date(2020, 1, 15), datetime.date(2020, 1, 17)]",8
putri,36,47,"[datetime.date(2020, 1, 15), datetime.date(2020, 1, 17), datetime.date(2020, 1, 2), datetime.date(2020, 1, 19), datetime.date(2020, 1, 6), datetime.date(2020, 1, 5), datetime.date(2020, 1, 13), datetime.date(2020, 1, 16)]",8
dono,43,44,"[datetime.date(2020, 1, 4), datetime.date(2020, 1, 5), datetime.date(2020, 11, 30), datetime.date(2020, 1, 6), datetime.date(2020, 1, 3), datetime.date(2020, 1, 15), datetime.date(2020, 1, 8), datetime.date(2020, 1, 11), datetime.date(2020, 1, 2), datetime.date(2020, 1, 16)]",10
fikri,42,50,"[datetime.date(2020, 1, 10), datetime.date(2020, 1, 13), datetime.date(2020, 1, 14), datetime.date(2020, 11, 25), datetime.date(2020, 1, 5), datetime.date(2020, 1, 3), datetime.date(2020, 1, 9), datetime.date(2020, 1, 16), datetime.date(2020, 1, 11), datetime.date(2020, 1, 18)]",10
dany,26,39,"[datetime.date(2020, 1, 1), datetime.date(2020, 1, 12), datetime.date(2020, 1, 14), datetime.date(2020, 1, 6), datetime.date(2020, 1, 10), datetime.date(2020, 1, 8)]",6
zaky,29,46,"[datetime.date(2020, 1, 17), datetime.date(2020, 1, 1), datetime.date(2020, 1, 9), datetime.date(2020, 1, 11), datetime.date(2020, 1, 2), datetime.date(2020, 1, 14)]",6
haikal,28,41,"[datetime.date(2020, 1, 16), datetime.date(2020, 1, 3), datetime.date(2020, 1, 6), datetime.date(2020, 1, 15), datetime.date(2020, 1, 10), datetime.date(2020, 1, 9), datetime.date(2020, 11, 29)]",7
geri,36,46,"[datetime.date(2020, 11, 30), datetime.date(2020, 1, 14), datetime.date(2020, 1, 7), datetime.date(2020, 1, 8), datetime.date(2020, 1, 10), datetime.date(2020, 1, 2), datetime.date(2020, 1, 13), datetime.date(2020, 1, 5), datetime.date(2020, 1, 19)]",9
karim,32,34,"[datetime.date(2020, 1, 6), datetime.date(2020, 1, 10), datetime.date(2020, 1, 8), datetime.date(2020, 1, 12), datetime.date(2020, 1, 14), datetime.date(2020, 1, 3), datetime.date(2020, 1, 11)]",7
rifat,48,36,"[datetime.date(2020, 1, 9), datetime.date(2020, 11, 30), datetime.date(2020, 1, 16), datetime.date(2020, 1, 17), datetime.date(2020, 1, 11), datetime.date(2020, 1, 12), datetime.date(2020, 1, 1), datetime.date(2020, 1, 18), datetime.date(2020, 1, 3), datetime.date(2020, 1, 15), datetime.date(2020, 1, 4)]",11
dwi,39,45,"[datetime.date(2020, 1, 8), datetime.date(2020, 1, 3), datetime.date(2020, 1, 7), datetime.date(2020, 1, 18), datetime.date(2020, 1, 13), datetime.date(2020, 1, 15), datetime.date(2020, 1, 6), datetime.date(2020, 1, 12), datetime.date(2020, 1, 19)]",9
astri,32,39,"[datetime.date(2020, 11, 29), datetime.date(2020, 11, 30), datetime.date(2020, 1, 8), datetime.date(2020, 1, 5), datetime.date(2020, 1, 1), datetime.date(2020, 1, 10), datetime.date(2020, 1, 19), datetime.date(2020, 1, 17), datetime.date(2020, 1, 13)]",9
rizki,40,44,"[datetime.date(2020, 1, 4), datetime.date(2020, 1, 9), datetime.date(2020, 1, 8), datetime.date(2020, 1, 6), datetime.date(2020, 1, 13), datetime.date(2020, 1, 12), datetime.date(2020, 1, 7), datetime.date(2020, 1, 5), datetime.date(2020, 1, 10)]",9
